customer_id,code,name,status,address_used,latitude,longitude,accuracy,match_precision,notes
252,HUT001 1,THE HUT GROUP,updated-low-confidence,"Omega Site
Skyline Drive
Warrington
WA5 3TP",53.405725,-2.6748122,200,GEOMETRIC_CENTER,"Google match: 'Skyline Dr, Burtonwood, Warrington WA5 3RN, UK'; LOW CONFIDENCE - review manually"
253,IA001 1,I A DISTRIBUTION,updated-low-confidence,"Units 23.2 – 23.5
Amber Business Centre
Hill Top Road
Riddings",53.0677852,-1.3713508,200,GEOMETRIC_CENTER,"Google match: 'Hill Top Rd, Riddings, Alfreton DE55, UK'; partial match; LOW CONFIDENCE - review manually"
254,IA001 2,I A DISTRIBUTION,updated-low-confidence,"Hamilton Road
Kirkby In Ashfield
NG17 5LD",53.1237736,-1.2320348,200,GEOMETRIC_CENTER,"Google match: 'Hamilton Rd, Sutton-in-Ashfield NG17 5LD, UK'; LOW CONFIDENCE - review manually"
255,ICE001 0,ICELAND FOODS LTD,updated-low-confidence,"5 Solar Way
Brinsdown
Enfield
EN3 7XY",51.67693449999999,-0.0247243,10,ROOFTOP,"Google match: '5 Solar Way, Enfield EN3 7FL, UK'; partial match; LOW CONFIDENCE - review manually"
256,ICE001 2,ICELAND FOODS LTD,updated-low-confidence,"Camerons Wood
Nettlehill Road
Houston Industrial Estate
EH54 5DL",55.9137851,-3.5163743,200,GEOMETRIC_CENTER,"Google match: 'Nettlehill Rd, Livingston EH54 5DL, UK'; partial match; LOW CONFIDENCE - review manually"
257,ICE001 3,ICELAND FOODS LTD,updated-low-confidence,"Penzance Drive
Swindon
SN5 7JF",51.5566734,-1.8059599,200,GEOMETRIC_CENTER,"Google match: 'Penzance Dr, Swindon SN5 7JF, UK'; LOW CONFIDENCE - review manually"
258,ICE001 4,ICELAND FOODS LTD,updated-low-confidence,"Hardwick Grange
Woolston
Warrington
WA1 4RF",53.4036644,-2.5258134,200,GEOMETRIC_CENTER,"Google match: 'Hardwick Grange, Woolston, Warrington WA1 4RF, UK'; LOW CONFIDENCE - review manually"
259,ILM001 1,ILMVORUR,updated,"Bolstadarhlid 54
105 Reykjavik",64.1354889,-21.8972259,10,ROOFTOP,"Google match: 'Bólstaðarhlíð 54 105, 105 Reykjavík, Iceland'"
260,INN001 1,INNOX TRADING LTD,updated-low-confidence,"37 Greenhey Place
East Gillibrands
Skelmersdale
WN8 9SA",53.545056,-2.7899514,10,ROOFTOP,"Google match: '37 Greenhey Pl, Gillibrands Rd, East, Skelmersdale WN8 9SA, UK'; partial match; LOW CONFIDENCE - review manually"
261,INTAM001 1,INTAMARQUE LTD,updated-low-confidence,"Alexandra Way
Ashchurch
Tewkesbury
GL20 8NB",51.9980409,-2.1209042,200,GEOMETRIC_CENTER,"Google match: 'Alexandra Way, Ashchurch, Tewkesbury GL20 8NB, UK'; LOW CONFIDENCE - review manually"
262,INTERFR001 1,FUTURA FINANCES,updated-low-confidence,"Espace Plaisance (Moreau P&F)
Zon Plaisance Rte
Villefranche
41200",47.3343557,1.7490953,10,ROOFTOP,"Google match: '6 Rue de Plaisance, 41200 Romorantin-Lanthenay, France'; partial match; LOW CONFIDENCE - review manually"
263,Irish001 1,TOMMY JOYCE'S SUPERSTORES LTD,updated-low-confidence,"Clooneygrasson
Roscommon Road
Ballymoe
Co. Roscommon, F45 EP46",53.688335,-8.4009891,3000,APPROXIMATE,"Google match: 'Cloonagrassan, Co. Roscommon, F45 EP46, Ireland'; partial match; LOW CONFIDENCE - review manually"
264,ITM001 1,ITM LEISURE EUROPE LTD,updated-low-confidence,"Unit 3
Kirkham Trading Park
Kirkham
PR4 3RB",53.75569729999999,-2.866298,10,ROOFTOP,"Google match: '3 Kirkham Rd, Freckleton, Preston PR4 1HS, UK'; partial match; LOW CONFIDENCE - review manually"
265,J003 0,JEYLANDS,updated-low-confidence,Cork,51.8985143,-8.4756035,3000,APPROXIMATE,"Google match: 'Cork, Ireland'; LOW CONFIDENCE - review manually"
266,JAVA001 1,THE JAVA STORE,updated-low-confidence,"SJS Furniture
Unit 13,Paynes Business Park,Dereham Road,
Beeston
Norfolk, PE32 2NQ",52.7041361,0.8259000999999999,200,GEOMETRIC_CENTER,"Google match: 'Unit 13/Paynes Business Park/Dereham Rd, Beeston, King's Lynn PE32 2NQ, UK'; partial match; LOW CONFIDENCE - review manually"
267,JAWO001 1,J.A. WOLL HANDELS GMBH,updated,"Am Kahlberg 6
Soltau
29614",52.9691519,9.822958600000002,10,ROOFTOP,"Google match: 'Am Kahlberg 6, 29614 Soltau, Germany'"
268,JD001 2,JD WILLIAMS & COMPANY LTD,updated-low-confidence,"Duke Mill
Refuge Street
Shaw
Oldham, OL2 8RH",53.5744402,-2.0939347,200,GEOMETRIC_CENTER,"Google match: 'Refuge St, Shaw, Oldham OL2 8RH, UK'; partial match; LOW CONFIDENCE - review manually"
269,JD001 1,JD WILLIAMS & COMPANY LTD,updated-low-confidence,"River House
Unit 17
Shepley Land Ind Est South
Audenshaw, Manchester, M34 5DW",53.4679928,-2.1062676,50,RANGE_INTERPOLATED,"Google match: '17 Shepley Rd, Audenshaw, Manchester M34 5DL, UK'; partial match; LOW CONFIDENCE - review manually"
270,JD001 4,JD WILLIAMS & COMPANY LTD,updated,"Lilac Mill
Beal Lane
Shaw,
Oldham, OL2 8PJ",53.57489589999999,-2.088068,10,ROOFTOP,"Google match: 'Lilac & Briar Mills, Beal Ln, Shaw, Oldham OL2 8PJ, UK'"
271,JEG001 0,J&E GROUP LTD/ MAXIDEALS,updated-low-confidence,"Thorncliffe Business Park
Unit 21
Newton Chambers Road
S35 2PH",53.4736741,-1.4768999,200,GEOMETRIC_CENTER,"Google match: 'Thorncliffe Business Park, Newton Chambers Rd, Chapeltown, Sheffield S35 2PH, UK'; LOW CONFIDENCE - review manually"
272,JFM001 1,JFM CORK,updated-low-confidence,"Units 10 & 11
South Ring West Business park
Tramore Road",51.8765949,-8.4809116,200,GEOMETRIC_CENTER,"Google match: 'Tramore Rd, Cork, Ireland'; partial match; LOW CONFIDENCE - review manually"
273,JG001 1,JGM WHOLESALE LTD,updated,"79 Commerce Street
Glasgow
G5 8EP",55.85247279999999,-4.2602908,10,ROOFTOP,"Google match: '79 Commerce St, Kinning Park, Glasgow G5 8EP, UK'"
274,JIG001 1,JIG UK LTD,updated,"Unit 20 Alliedway
Warpleway
London
W3 0RQ",51.505173,-0.2550441,10,ROOFTOP,"Google match: '20 Allied Way, London W3 0RF, UK'"
275,JOHNS001 1,JOHNSON BROTHERS (BELFAST) LIMITED,updated,"137 Hillsborough Old Road
Lisburn
BT27 5QR",54.5008591,-6.041226099999999,10,ROOFTOP,"Google match: '137 Hillsborough Old Rd, Lisburn BT27 5QR, UK'"
276,JOY001 0,MAJOR,updated-low-confidence,"Roscommon Road
Ballymoe",53.69402789999999,-8.4618058,3000,APPROXIMATE,"Google match: 'Durrow, Ballymoe, Co. Galway, Ireland'; partial match; LOW CONFIDENCE - review manually"
277,JS001 1,JS-MARKETING (NI) LTD,updated,"134a Head Road
Ballymartin
BT34 4PX",54.123382,-5.977043600000001,10,ROOFTOP,"Google match: '134a Head Rd, Ballymartin, Newry BT34 4PX, UK'"
278,JTF001 1,JTF WHOLESALE LIMITED,updated-low-confidence,"Tuxford Crossdock
Walker Ind Est
Ollerton Road
Tuxford, NG22 0PQ",53.23137810000001,-0.9152189,200,GEOMETRIC_CENTER,"Google match: 'Walkers Industrial Estate, Ollerton Rd, Tuxford, Newark NG22 0PQ, UK'; partial match; LOW CONFIDENCE - review manually"
279,KEM001 2,ALPCO LTD T/A KEMNEEDS,updated-low-confidence,"Alpco Ltd t/a Kemneeds
c/o The Distribution Solution
Units 19-20 Kilwee Business Park
Belfast, BT17 0HD",54.55320279999999,-6.0064633,3000,APPROXIMATE,"Google match: 'Dunmurry, Belfast BT17 0HD, UK'; partial match; LOW CONFIDENCE - review manually"
280,KEM001 3,ALPCO LTD T/A KEMNEEDS,updated-low-confidence,"TDS – CONOR O’NEILL
UNIT 8 KILWEE BUSINESS PARK
UPPER DUNMURRY LANE,
BELFAST, BT17 0HD",54.5623361,-6.0123643,200,GEOMETRIC_CENTER,"Google match: 'Corrina Park, Upper Dunmurry Ln, Dunmurry, Belfast BT17 0HB, UK'; partial match; LOW CONFIDENCE - review manually"
281,KEM001 1,ALPCO LTD T/A KEMNEEDS,updated-low-confidence,"7 Springfarm Ind Estate
Ballymena Road
Antrim
BT41 4NT",54.72573629999999,-6.2217303,200,GEOMETRIC_CENTER,"Google match: 'Springfarm Industrial Estate, Ballymena Rd, Antrim BT41 4JR, UK'; partial match; LOW CONFIDENCE - review manually"
282,KER002 1,KERI ANNS LTD,updated-low-confidence,"Unit 7 Grendon House Farm
Warton Lane
Grendon
Atherstone, CV9 3DT",52.6123254,-1.5748425,200,GEOMETRIC_CENTER,"Google match: 'Warton Ln, Grendon, Atherstone CV9 3DT, UK'; partial match; LOW CONFIDENCE - review manually"
283,KI001 1,KING GM WHOLESALE CASH & CARRY,updated,"59B Derby St
Manchester
M8 8HE",53.4957751,-2.2469126,10,ROOFTOP,"Google match: '59B Derby St, Cheetham Hill, Manchester M8 8HW, UK'"
284,KM001 1,KM AGENCIES,updated-low-confidence,"2 Glenburn Road
College Milton North Industrial Estate
East Kilbride
Glasgow, G74 5BA",55.7682161,-4.2094603,10,ROOFTOP,"Google match: '2 Glenburn Rd, East Kilbride, Glasgow G74 5BA, UK'; partial match; LOW CONFIDENCE - review manually"
285,KOS001 1,KOSMELITA,updated,"Taikos pr. 100
LT-51194
Kaunas",54.9152576,24.0027762,10,ROOFTOP,"Google match: 'Taikos pr. 100, Kaunas, 51194 Kauno m. sav., Lithuania'"
286,KWW001 0,KWW MANAGEMENT LTD,updated-low-confidence,"Padholme Rd E
Peterborough
PE1 5XL",52.5773862,-0.2145673,200,GEOMETRIC_CENTER,"Google match: 'Padholme Rd E, Peterborough PE1 5XL, UK'; LOW CONFIDENCE - review manually"
287,L0001 1,LEISURETIME CATERING LTD,updated-low-confidence,"Units 13/14/15 Northlink Business Park,Coes Road
Dundalk",54.0025622,-6.381707,10,ROOFTOP,"Google match: 'North Link Business Park, Coes Rd, Marshes Lower, Dundalk, Co. Louth, Ireland'; partial match; LOW CONFIDENCE - review manually"
288,LCT001 1,LTC DISTRIBUTORS (SCOTLAND) LTD,updated,"135 Centre Street
Tradeston
Glasgow
G5 8ED",55.8528385,-4.261637800000001,10,ROOFTOP,"Google match: '135 Centre St, Kinning Park, Glasgow G5 8ED, UK'"
289,LITT001 1,LITTLEWOODS CLEARANCE,updated-low-confidence,"Croal Mill
Blackshaw Lane
Bolton
BL3 5PL",53.5723494,-2.4527527,200,GEOMETRIC_CENTER,"Google match: 'Blackshaw Ln, Bolton BL3 5QA, UK'; LOW CONFIDENCE - review manually"
290,LUX001 1,LUX GIFTS,updated,"102 Brighton Road
Purley
CR8 4DB",51.3323082,-0.1242765,10,ROOFTOP,"Google match: 'Imperial Parade, 102 Brighton Rd, Purley CR8 4DB, UK'"
291,MAJ001 1,MAJOR IMPORT EXPORT LTD,updated-low-confidence,"c/o Big Red Living The Dream Ltd
Koprite House
Wilton Road,
Humberstone,Grimsby, DN36 4AP",53.535236,-0.0474412,10,ROOFTOP,"Google match: 'Koprite House, Humberston, Grimsby DN36 4AW, UK'; partial match; LOW CONFIDENCE - review manually"
292,MANCH001 0,MANCHESTER ASSET MANAGEMENT LTD,updated-low-confidence,"Arrow Mill
Queensway
OL112YW",53.59478559999999,-2.1734135,200,GEOMETRIC_CENTER,"Google match: 'Arrow Mill, Queensway, Rochdale OL11 2NY, UK'; LOW CONFIDENCE - review manually"
293,MBB001 0,M&B BARGAINS,updated-low-confidence,"Unit B3
Graylaw Industrial Estate
Wareing Road
Aintree, L9 7AU",53.4616098,-2.9469171,200,GEOMETRIC_CENTER,"Google match: 'Wareing Rd, Fazakerley, Liverpool L9, UK'; partial match; LOW CONFIDENCE - review manually"
294,MCKE001 1,PA MCKEEVER LIMITED T/A MCKEEVERS CHEMISTS,updated,"58 Hamiltonsbawn Road
Armagh
BT60 1HW",54.3481331,-6.6305119,10,ROOFTOP,"Google match: 'Cross House, Hamiltonsbawn Road Industrial Estate, 58 Hamiltonsbawn Rd, Armagh BT60 1HW, UK'"
295,MCKEEV001 1,DO NOT USE,updated-low-confidence,"Hamiltonsbawn Road Industrial Estate
58a Hamiltonsbawn Road
Armagh
BT61 1HW",54.349661,-6.6334792,200,GEOMETRIC_CENTER,"Google match: 'Hamiltonsbawn Road Industrial Estate, Armagh, UK'; partial match; LOW CONFIDENCE - review manually"
296,MD001 0,M&D STORES LTD,updated-low-confidence,6 Hardshaw Centre,53.4525753,-2.7341498,200,GEOMETRIC_CENTER,"Google match: 'Church St, St Helens, Saint Helens WA10 1EB, UK'; partial match; LOW CONFIDENCE - review manually"
297,MEAGHERS001 1,MEAGHER'S PHARMACY,updated,"10 Upper Baggot Street
Dublin 4",53.3338706,-6.244589,10,ROOFTOP,"Google match: '10 Baggot Street Upper, Dublin 4, D04 KT35, Ireland'"
298,MEC001 0,MECCA BINGO,updated-low-confidence,"Northwest Storage
5 Bond Street
Manchester
M12 6HW",53.47375640000001,-2.2257076,3000,APPROXIMATE,"Google match: 'Manchester M12 6HW, UK'; partial match; LOW CONFIDENCE - review manually"
299,MIG001 1,MIGHTY PRICE LTD,updated-low-confidence,"Pennyburn Ind Est
Derry",55.0138735,-7.3260733,200,GEOMETRIC_CENTER,"Google match: 'Pennyburn Industrial Estate, Londonderry BT48, UK'; LOW CONFIDENCE - review manually"
300,MIST001 1,MISTER DISCOUNTS LTD,updated-low-confidence,"Unit 1&2
Harris Business Park
Bromsgrove
B60 4DJ",52.2996069,-2.0741459,200,GEOMETRIC_CENTER,"Google match: 'Harris Business Park, Hanbury Rd, Stoke Prior, Bromsgrove B60 4FG, UK'; partial match; LOW CONFIDENCE - review manually"
301,MNB001 1,MNB VARIETY IMPORTS PTY. LTD.,updated,"318 Horsley Rd
Milperra,
NSW 2114",-33.9370062,150.9960083,10,ROOFTOP,"Google match: '318 Horsley Rd, Milperra NSW 2214, Australia'"
302,MORRIS001 1,MORRIS AND SON (LEEDS) LTD,updated-low-confidence,"Unit 1
Silkstone Court
Upper Cliffe Road
Dodworth Business park, S75 3SP",53.54657659999999,-1.5334062,10,ROOFTOP,"Google match: 'Dodworth Business Park, Unit 2 Upper Cliffe Rd, South, Dodworth, Barnsley S75 3SP, UK'; partial match; LOW CONFIDENCE - review manually"
303,MPMA001 1,MPMA ENTERPRISES LTD,updated,"9 North Street
Wexford
Y34PC60",52.3959694,-6.944035,10,ROOFTOP,"Google match: '9 North St, New Ross, Co. Wexford, Y34 PC60, Ireland'"
304,MPS001 1,MIKKA LTD,updated,"115 Commerce St
Glasgow
G5 8DL",55.851552,-4.2607069,10,ROOFTOP,"Google match: '115 Commerce St, Kinning Park, Glasgow G5 8DL, UK'"
305,MRG001 1,MR G VARIETY STORE,updated,"68 Scraghey Road
Castlederg
Co Tyrone
BT81 7SL",54.6418478,-7.648239199999999,10,ROOFTOP,"Google match: '68 Scraghy Rd, Killen, Castlederg BT81 7SL, UK'"
306,MRGV001 1,MR G'S VARIETY STORE,updated-low-confidence,"68 Scaraghey Road
Castlederg
Co Tyrone
BT81 7SL",54.6271188,-7.635309700000001,3000,APPROXIMATE,"Google match: 'Scraghy Rd, Killen, Castlederg BT81 7SL, UK'; partial match; LOW CONFIDENCE - review manually"
307,MS001 1,MST TOILETRIES-SERT MST,updated,"Tetron Point
William Nadin Way
Swadlincote
Derbyshire, DE11 0BB",52.7706897,-1.5828167,10,ROOFTOP,"Google match: 'Tetron Point, William Nadin Way, Swadlincote DE11 0BB, UK'"
308,MS001 2,MST TOILETRIES-SERT MST,updated-low-confidence,"Glaisdale Drive East
Bilborough
Nottingham
NG8 4GU",52.9620345,-1.2227444,200,GEOMETRIC_CENTER,"Google match: 'Glaisdale Dr E, Nottingham NG8, UK'; LOW CONFIDENCE - review manually"
